"id","long","lat","winter.duration","ID","cells","NA_dem","NA_northing","NA_nFrostyDays","NA_nonGrowingDays","NA_nDaysFreeze","NA_frostFreeze","NA_OG1k"
"id_84",-117.4496,49.49352,109,29,29456023,882.633728027344,49.4958343505859,152.088836669922,299.56884765625,15.810263633728,83.9495468139648,144.418807983398
"id_86",-117.35441,49.0239,146,30,30278886,798.918090820312,49.0208320617676,164.134552001953,298.974914550781,16.9120063781738,90.5232772827148,131.139541625977
"id_88",-117.35441,49.0239,139,31,30278886,798.918090820312,49.0208320617676,164.134552001953,298.974914550781,16.9120063781738,90.5232772827148,131.139541625977
"id_106",-116.62949,49.1192,184,32,30105741,552.690124511719,49.1208343505859,143.119415283203,292.053955078125,13.6907720565796,78.4050903320312,135.073623657227
"id_107",-117.61685,49.03336,210,33,30249982,609.942749023438,49.0374984741211,141.699630737305,291.85888671875,13.967794418335,77.8337097167969,130.247604370117
"id_108",-117.61553,49.03204,152,34,30264419,463.195343017578,49.029167175293,136.413619995117,287.932373046875,12.5346879959106,74.4741516113281,130.073394775391
"id_119",-116.58114,49.08214,170,35,30177927,533,49.0791664123535,142.908752441406,290.393157958984,13.2504215240479,78.07958984375,134.232955932617
"id_126",-115.85341,50.28064,200,36,28099230,844.822143554688,50.279167175293,195.231491088867,306.251708984375,28.1859436035156,111.708717346191,151.98681640625
"id_127",-115.85341,50.28064,222,37,28099230,844.822143554688,50.279167175293,195.231491088867,306.251708984375,28.1859436035156,111.708717346191,151.98681640625
"id_133",-114.90642,49.66705,232,38,29153172,1169.92456054688,49.6708335876465,215.825622558594,322.980407714844,33.3923721313477,124.609001159668,142.479995727539
"id_137",-118.33886,49.01814,84,39,30278768,813.629699707031,49.0208320617676,156.430603027344,297.072418212891,17.8489017486572,87.1397552490234,123.564002990723
"id_138",-119.56755,49.43707,217,40,29556820,487.441223144531,49.4375,125.990859985352,286.427825927734,11.5515966415405,68.7712249755859,129.878005981445
"id_139",-119.56121,49.44906,81,41,29542385,679.515014648438,49.4458351135254,143.49333190918,296.237945556641,14.3983535766602,78.9458465576172,130.268997192383
"id_140",-119.56121,49.44906,217,42,29542385,679.515014648438,49.4458351135254,143.49333190918,296.237945556641,14.3983535766602,78.9458465576172,130.268997192383
"id_142",-119.6223,49.29944,136,43,29802226,636.584838867188,49.2958335876465,133.77278137207,290.464782714844,13.2750377655029,73.5239105224609,123.755401611328
"id_144",-119.6163,49.28337,218,44,29816663,692.140319824219,49.2874984741211,137.354354858398,292.607055664062,13.844762802124,75.5995559692383,123.472801208496
"id_145",-118.34883,49.01531,198,45,30293203,569.335388183594,49.0125007629395,152.170043945312,292.613739013672,16.2639217376709,84.2169799804688,123.211402893066
"id_147",-121.861855296331,50.6268531757595,160,46,27492197,316.632385253906,50.6291656494141,133.551116943359,281.971435546875,13.5345010757446,73.5428085327148,136.115600585938
