siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,description,nWinterFlights,witnerSpecies,firstSpring,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,lastFall,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,LDE,nMaxSpring,LDH,nMaxEmerging,detectorType
REMAC Mine 2015,,2015,,,,49.0239,-117.35441,,,2330,"25K,40K,45K,",31/03/2016,-,9/04/2016,8/04/2016,9/04/2016,9/04/2016,9/04/2016,31/03/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/12/2015,-,29/12/2015,-,-,30/12/2015,30/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/03/2016,602,12/11/2015,96,
Woodbury Mine (ONE mic only2014,near Ainsworth,2013,,,,49.77835,-116.90425,,mine,607,"50K,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,No Fall Bats Recorded,-,
Woodbury Mine (ONE mic only2012,Ainsworth,2011,,,,49.77953,-116.90941,,,0,,19/04/2012,-,-,-,-,-,19/04/2012,19/04/2012,19/04/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2012,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2012,75,No Fall Bats Recorded,-,
4 mile mine Hazelton 2014,Hazelton,No Data Listed,9U,591365,6126297,,,,mine,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Hazelton Skeena R 2014,Hazelton,2014,9U,584431,6121991,,,,river,0,,9/04/2015,-,-,-,-,24/04/2015,24/04/2015,-,9/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/04/2015,-,-,-,-,-,-,11/10/2014,-,-,-,-,11/10/2014,2/10/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/04/2015,61,Insufficient Number Recordings,8,
Allan Marlow 2009,Staubert Lake,2009,,,,50.68883,-117.65914,,,0,,3/03/2010,-,-,-,-,-,3/03/2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,1,No Fall Bats Recorded,-,
Bullock Mine 2012,north end of Kootenay LK,2012,,,,50.3984,-117.12203,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/10/2012,-,-,-,-,-,-,9/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,1,
Cody Cave 2012,Ainsworth,No Data Listed,,,,49.72749,-116.951,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Gerrard 2012,Trout Lake,2011,,,,50.51044,-117.27609,,,0,,24/03/2012,-,-,-,-,7/04/2012,-,7/04/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/03/2012,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/04/2012,253,No Fall Bats Recorded,-,
Lardeau N Mine 2011,Lardeau,2011,,,,50.17473,-116.95981,,,127,"45K,50K,MYCA,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12/12/2011,-,-,-,-,-,8/12/2011,7/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,12/12/2011,-,-,12/12/2011,-,-,-,-,-,-,No Spring Bats Recorded,-,6/12/2011,52,
Lucky Jack 2012,north end of Kootenay LK,No Data Listed,,,,50.4118,-117.11897,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Meadow Crk MarbleheadQuarry2011,Meadow Creek,No Data Listed,,,,50.25801,-116.96996,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Meadow Creek Hunting Area 2011,Meadow Creek,2011,,,,50.17836,-116.95863,,,5,"45K,LANO,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,No Fall Bats Recorded,-,
Moonshine above Lardeau 2012,above Lardeau,2012,,,,50.13465,-116.955,,,11,"50K,HighF,",18/03/2013,-,-,-,-,18/03/2013,22/03/2013,22/03/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/12/2012,-,-,-,-,-,-,-,-,8/12/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/12/2012,Insufficient Number Recordings,4,Insufficient Number Recordings,1,
Retallick 2011,Retallick,No Data Listed,,,,50.03677,-117.20715,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Valhalla 2011,Slocan City,No Data Listed,,,,49.77103,-117.47659,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
WDKO 2015,near Salmo,2015,11 U,483479,5438701,,,,mine,199,"25K,30K,35K,45K,50K,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/12/2015,-,13/11/2015,16/12/2015,12/11/2015,-,14/12/2015,24/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13/12/2015,-,-,-,-,-,-,No Spring Bats Recorded,-,11/11/2015,161,
Boulder CK Channel 2012,Lardeau Forest,2012,,,,49.28325,-116.66144,,,59,"50K,HighF,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/12/2012,-,-,-,-,15/10/2012,-,5/12/2012,23/10/2012,5/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/11/2012,-,-,-,-,-,-,No Spring Bats Recorded,-,12/10/2012,805,
CVWMA Under Interp Centre 2012,Creston/CVWMA,2012,,,,49.1192,-116.62949,,,140,"40K,50K,HighF,",4/05/2013,-,-,-,-,4/05/2013,-,4/05/2013,4/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/05/2013,-,-,-,-,-,-,14/11/2012,-,-,-,-,1/11/2012,-,14/11/2012,-,6/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2/05/2013,551,30/10/2012,85,
Fort Shepherd in Trail 2012,Trail,2012,,,,49.03336,-117.61685,,,161,"50K,HighF,EPFULANO,",15/05/2013,-,-,-,-,15/05/2013,-,15/05/2013,15/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/05/2013,-,-,-,-,-,-,29/10/2012,-,-,-,-,29/10/2012,14/10/2012,29/10/2012,25/09/2012,29/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/10/2012,-,-,-,-,-,-,10/05/2013,1053,12/10/2012,1762,
Fort Shepherd in Trail 2009,Trail,2009,,,,49.03204,-117.61553,,,1005,"40K,50K,LowF,HighF,",15/03/2010,-,-,-,-,15/05/2010,7/05/2010,15/05/2010,15/05/2010,-,-,-,-,-,-,-,-,-,-,15/03/2010,-,-,-,-,15/05/2010,-,-,-,-,-,-,28/12/2009,-,-,-,-,15/12/2009,-,17/12/2009,29/11/2009,28/12/2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/05/2010,1240,14/12/2009,677,
Fort Shepherd in Trail 2011,,2011,,,,49.03204,-117.61553,,,573,"40K,45K,50K,HighF,MYSE,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/12/2011,-,-,-,-,24/12/2011,23/11/2011,30/12/2011,-,30/12/2011,-,-,-,-,-,-,-,-,-,13/11/2011,-,-,-,-,30/12/2011,-,-,-,-,-,-,No Spring Bats Recorded,-,19/10/2011,398,
FrogBear CVWMA (spring2014only),Creston/CVWMA,2013,,,,49.20317,-116.59158,,,0,,1/05/2014,-,-,-,-,-,2/05/2014,2/05/2014,2/05/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/05/2014,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/04/2014,3725,No Fall Bats Recorded,-,
Grammas Adit (2) 2013,Creston,2011,,,,49.13615,-116.53193,,mine,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16/10/2011,-,-,-,-,-,-,16/10/2011,-,16/10/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,15/10/2011,14,
grammas adit,,No Data Listed,,,,49.13615,-116.53193,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Kuskanook 2014,north of Creston,2014,,,,49.30385,-116.66476,,"building,maternity roost",169,"40K,50K,EPFULANO,",27/03/2015,-,-,-,-,3/04/2015,-,5/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/04/2015,-,-,-,-,27/03/2015,-,28/12/2014,-,-,-,-,28/12/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28/12/2014,-,-,-,-,-,-,27/03/2015,2414,Insufficient Number Recordings,3,
Kuskonook basement 2015,,2015,,,,49.30385,-116.66476,,,37,"45K,50K,",7/04/2016,-,-,-,-,-,-,7/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,6,No Fall Bats Recorded,-,
Kuskonook House outside 2015,,2015,,,,49.30385,-116.66476,,,9,"40K,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21/12/2015,-,-,-,-,21/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12/12/2015,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,5,
Midgeley NCC 2012,near Leech Lake,2012,,,,49.15672,-116.64033,,,0,,15/03/2013,-,-,-,-,31/03/2013,31/03/2013,31/03/2013,15/03/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28/03/2013,55,No Fall Bats Recorded,-,
Mount Thompson Mine 2011,Creston,No Data Listed,,,,49.10591,-116.43106,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Pedro 2011,Creston/CVWMA,No Data Listed,,,,49.27569,-116.65206,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Reclamation House RL 2012,Peachland roost (2),2012,,,,49.08214,-116.58114,,,305,"40K,50K,HighF,",4/05/2013,-,-,-,-,4/05/2013,-,4/05/2013,4/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/05/2013,-,-,-,-,-,-,18/11/2012,-,-,-,-,12/11/2012,-,18/11/2012,-,18/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2/05/2013,551,13/11/2012,179,
Toni St Mary Lake 2011,Vancouver Island,No Data Listed,,,,49.61649,-116.19829,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Copper King 2011,Kimberley,2012,,,,49.503,-115.35931,,mine hibernaculum,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8/09/2012,-,-,-,-,-,8/09/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,1,
Syringa 2012,Syringa Prov Park near Castlegar,2012,,,,49.34936,-117.88828,,,6,"40K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/11/2012,-,-,-,-,7/11/2012,-,14/10/2012,11/10/2012,14/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12/10/2012,21/09/2012,-,-,-,-,13/10/2012,No Spring Bats Recorded,-,8/10/2012,698,
Syringa 2011,Syringa Prov Park near Castlegar,2011,,,,49.36373,-117.92842,,,340,"50K,LowF,HighF,EPFULANO,bat,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/12/2011,-,-,-,-,18/10/2011,-,23/11/2011,23/11/2011,30/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21/11/2011,20/10/2011,-,-,-,-,22/11/2011,No Spring Bats Recorded,-,1/10/2011,183,
Syringa 2009,Syringa Prov Park near Castlegar,2009,,,,49.35473,-117.89967,,,48,"50K,LowF,HighF,EPFULANO,bat,",7/04/2010,-,-,-,-,-,-,12/04/2010,12/04/2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12/04/2010,-,-,-,-,-,7/04/2010,29/11/2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/11/2009,-,-,-,-,-,-,24/03/2010,93,Insufficient Number Recordings,3,
Syringa 2014,,2014,,,,49.35473,-117.89967,,,30,"LowF,HighF,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/12/2014,-,-,-,-,-,-,-,12/12/2014,22/12/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,7,
Lot48 Columbia Lake NCC 2012,Fairmont Hot Spring,2012,,,,50.28064,-115.85341,,,7,"LowF,HighF,EPFULANO,MYYUMYCA,",1/03/2013,-,-,-,-,20/04/2013,-,19/04/2013,18/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2013,-,-,-,20/04/2013,1/03/2013,-,5/11/2012,-,-,-,-,28/10/2012,-,18/10/2012,8/10/2012,5/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/09/2012,-,-,-,28/10/2012,-,-,2/04/2013,513,14/09/2012,575,
Lot48 Columbia Lake NCC 2013,,2013,,,,50.28064,-115.85341,,,27,"50K,HighF,",15/05/2014,-,-,-,-,15/05/2014,-,15/05/2014,15/05/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/05/2014,-,-,-,15/05/2014,-,-,27/12/2013,-,-,-,-,9/10/2013,-,2/11/2013,9/10/2013,27/12/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/10/2013,-,-,-,10/10/2013,-,-,15/05/2014,2083,5/10/2013,565,
Columbia Lake Lot 48 Part2 2014,,2014,,,,50.28064,-115.85341,,,5,"50K,EPFULANO,",7/03/2015,-,-,-,-,-,7/03/2015,8/03/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,3,No Fall Bats Recorded,-,
Columbia Lake Lot 48 Part2 2015,,2015,,,,50.28064,-115.85341,,,2,"EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13/12/2015,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,2,
Summit Lake Crowsnest 2012,Crowsnest Pass,2012,,,,49.6362,-114.69651,,,1,"bat,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,No Fall Bats Recorded,-,
Lussier Hspring 2012,Canal Flats,No Data Listed,,,,50.13494,-115.57681,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
