siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,description,nWinterFlights,witnerSpecies,firstSpring,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,lastFall,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,LDE,nMaxSpring,LDH,nMaxEmerging,detectorType
Pellucidar Cave 2014,near Port McNeill,No Data Listed,9 U ,647976,5587007,,,473,cave,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Liard Hot Springs 2015,Liard Hot Springs,2015,09 V,664251,6591873,,,480,,0,,15/05/2016,-,-,-,15/05/2016,15/05/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/10/2015,-,-,30/09/2015,28/09/2015,4/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11/05/2016,49,17/09/2015,15,SM2BAT - plus (ZC model)
Fairview Grasslands mine 2012,Oliver,2012,11 U,311132,5450886,,,493,,0,,13/03/2013,-,-,-,-,17/03/2013,-,13/03/2013,14/03/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/03/2013,-,-,-,-,-,15/03/2013,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/03/2013,24,No Fall Bats Recorded,-,RoostLogger in Feb and SM2 in March
molly hughes-Galena TrlNewDen13,New Denver,2013,11 U ,472734,5539178,,,550,,4,"40K,",5/04/2014,-,-,-,-,-,-,5/04/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,3,No Fall Bats Recorded,-,
Fraser Rock 2015,Williams Lake,2015,10 U,548582,5706093,,,560,,9,"25K,40K,",24/04/2016,-,24/04/2016,-,24/04/2016,24/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/12/2015,-,4/11/2015,-,10/10/2015,14/12/2015,-,-,-,-,-,-,-,-,10/10/2015,6/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2016,343,29/09/2015,850,SM2BAT - plus (ZC model)
Sirdar Imasco mine 2013,Sirdar,2013,11 U ,526012,5456359,,,580,,14,"40K,50K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17/12/2013,-,-,-,-,1/12/2013,-,17/12/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,4,
Tlingit office in Atlin 2015,Atlin,2015,08 V,573213,6603951,,,680,,0,,2/05/2016,-,-,-,2/05/2016,15/05/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/10/2015,-,-,-,26/09/2015,6/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8/09/2015,-,-,-,-,-,-,15/05/2016,17,13/09/2015,88,SM2BAT - plus (ZC model)
Warm Springs Homestead 2015,Atlin,2015,08 V,580550,6586135,,,700,,0,,15/05/2016,-,-,-,-,15/05/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23/09/2016,-,-,25/08/2016,30/08/2016,23/09/2016,31/08/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11/05/2016,16,26/08/2016,417,SM2BAT - plus (ZC model)
Fraser Lake 2015,Fort Fraser,2015,10 U,395376,5971283,,,700,,0,,23/04/2016,-,28/04/2016,-,23/04/2016,29/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17/10/2015,-,27/09/2015,-,29/09/2015,17/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/04/2016,482,9/09/2015,38,SM2BAT - plus (ZC model)
Dease Lake 2015,Dease Lake,2015,09 V,440850,6477429,,,800,,1,"25K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13/12/2015,-,13/12/2015,-,9/10/2015,17/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,29/09/2015,861,SM2BAT - plus (ZC model)
