Location,SiteID,Water_Type,Ruggedness,Trees,YR,Season,SampMonth,Month3,Week,Species,TotalPassCount,NightCount,AvgPasses_perNight
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Winter,12,Dec,50,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Winter,12,Dec,51,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Winter,12,Dec,52,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Winter,12,Dec,53,BAT,0,2,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,1,Jan,1,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,1,Jan,2,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,1,Jan,3,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,1,Jan,4,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,1,Jan,5,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,2,Feb,6,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,2,Feb,7,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,2,Feb,8,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,2,Feb,9,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,3,Mar,10,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,3,Mar,11,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,3,Mar,12,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Winter,3,Mar,13,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,14,BAT,8,7,1.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,14,Epfu,5,7,0.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,14,Lano,2,7,0.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,15,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,16,BAT,0,7,0
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,17,BAT,14,7,2
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,17,Epfu,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,4,Apr,17,Lano,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,18,BAT,26,7,3.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,18,Epfu,15,7,2.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,18,Lano,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,19,BAT,69,7,9.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,19,Epfu,19,7,2.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,19,Lano,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,19,Myev,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,20,BAT,217,7,31
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,20,Epfu,109,7,15.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,20,Laci,2,7,0.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,20,Lano,33,7,4.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,20,Myci,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,21,BAT,361,7,51.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,21,Epfu,68,7,9.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,21,Lano,21,7,3
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,22,BAT,41,7,5.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,22,Epfu,4,7,0.571428
