Species,band colour (left FA),band colour (right FA),band number,Genetic sample number,DS I.D.,Bat_ID,recap?,Capture_date,Date banded,Year banded,Capture time,Location,spec. location,"if recap, where originally captured?",Roost:,foraging? ,Sex,Age,repro cond.,description of male epididymes (ratio of flesh colour [percent of stored sperm left]),weight,dig(0)/spr(1),forearm 1,forearm 2,forearm 3,forearm avg,toothclass,Epiphyseal Gap,Parasites? ,parasites collected?,parasite comments:,ticks? SEE SEPARATE FILE FOR MORE ACCURATE 2002 TICK DATA,how many ticks,other Eps?,DNA taken?,Hair sampled?,Fecal sample?,Transmitter #/freq,Trans.Mass,Trans+Bat mass,Release Location:,date transm removed,Data Card?,Ear Length,Tragus Length,Thumb,Foot,Keel,WNS swab,Captured flying into or out of cave,Photo,Comments:,,,,
EPFU likely,,,,,,100911-CC1,,11-Sep-10,,,carcass collected from cave floor,WalkIn Cave,,,carcass in cave,,?,?,?,,NA,,45.22,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,carcass; very rotten so no DNA taken,,,,
EPFU likely,,,,,,100911-CC2,,11-Sep-10,,,carcass collected from cave floor,WalkIn Cave,,,carcass in cave,,?,?,?,,NA,,43.7,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,carcass; very rotten so no DNA taken,,,,
MYSE,,,,,,100912-01,,12-Sep-10,,,21:00,Peace Pt Road,,,,yes,M,ADULT,Stored sperm, 1/2,7.4,0,36.8,,,,,,,,,,,,y,,,,,,,,,15.5,8.5,,6c,,,,,captured at 5 degrees Celcius,,,,
MYLU,,,,,,not assigned,,12-Sep-10,,,daytime collection,Peace Point Cave,,,torpid roosting in cave,,M,ADULT,Stored sperm, 3/4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frosty nosed bat - took photos,"bat in deep torpor in cave, but this cave was shallow with ice at back and would not be a hibernaculum",,,,
MYLU,,,,,,not assigned,,12-Sep-10,,,daytime collection,Peace Point Cave,,,torpid roosting in cave,,not handled,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bat in deep torpor in cave, but this cave was shallow with ice at back and would not be a hibernaculum",,,,
MYLU,,,,,,100913-01,,13-Sep-10,,,21:00,Parson's Road,,,,yes,M,ADULT,Stored sperm, 2/3,10.5,0,39.39,,,,,,,,,,,,y,,,,,,,,,12,7,,8,,,,,,,,,
MYLU,,,,,,100913-02,,13-Sep-10,,,20:56,Parson's Road,,,,yes,not recorded,YOY,nonreproductive,,7,0,38.28,,,,,,,,,,,,,,,,,,,,,12,6.5,,,,,,,,,,,
MYSE,,,,,,100913-03,,13-Sep-10,,,not recorded,Parson's Road,,,,yes,not recorded,ADULT,not recorded,,9.3,0,37.51,,,,,,,,,,,,y(2),,,,,,,,,14.5,8.5,,6,,,,,,,,,
MYLU,,,,,,100913-04,,13-Sep-10,,,22:01,Parson's Road,,,,yes,M,YOY,nonreproductive,,9.8,0,36.6,,,,,,,,,,,,,,,,,,,,,12.5,6.5,,,,,,,,,,,
MYLU,,,,,,100913-05,,13-Sep-10,,,23:02,Parson's Road,,,,yes,M,ADULT,Stored sperm, 7/8,10.1,0,40.3,,,,,,,,,,,,y,,,,,,,,,13.5,6.5,,8,,,,,,,,,
MYLU,,,,,,100913-06,,13-Sep-10,,,22:39,Parson's Road,,,,yes,M,ADULT,Stored sperm, 2/3,9.1,0,37.69,,,,,,,,,,,,,,,,,,,,,13,6.5,,7.5,,,,,,,,,
MYLU,,,,,,100913-07,,13-Sep-10,,,22:15,Parson's Road,,,,yes,M,ADULT,Stored sperm, 1/8,9.7,0,38.42,,,,,,,,,,,,n,,,,,,,,,12,7,,7.5 (8c),,,,,,,,,
MYLU,,,,,,100913-08,,13-Sep-10,,,21:30,Parson's Road,,,,yes,M,ADULT,no stored sperm,0    ,8.9,0,40.01,,,,,,,,,,,,n,,,,,,,,,,,,7.5 (8c),,,,,,,,,
MYLU,,,,,,100913-09,,13-Sep-10,,,23:23,Parson's Road,,,,yes,M,ADULT,Stored sperm, 2/3,10.8,0,38.62,,,,,,,,,,,,,,,,,,,,,11.5,7,,7,,,,,,,,,
MYLU,,,,,,100913-10,,13-Sep-10,,,23:23,Parson's Road,,,,yes,M,ADULT,Stored sperm, 1/2,9.8,0,38.9,,,,,,,,,,,,,,,,,,,,,11.5,6.5,,7,,,,,,,,,
MYLU,,,,,,100913-11,,13-Sep-10,,,23:14,Parson's Road,,,,yes,F,YOY,nonreproductive,,8.2,0,38.6,,,,,large egap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-12,,13-Sep-10,,,23:23,Parson's Road,,,,yes,M,ADULT,Stored sperm, 3/4,9.2,0,37.78,,,,,,,,,,,,,,,,,,,,,13,7,,7,,,,,,,,,
MYLU,,,,,,100913-13,,13-Sep-10,,,23:20,Parson's Road,,,,yes,F,ADULT,Post-lactating,,10.2,0,41.06,,,,,,,,,,,,,,,,,,,,,14,7,,7.5,,,,,,,,,
MYLU,,,,,,100913-14,,13-Sep-10,,,22:50,Parson's Road,,,,yes,M,ADULT,Stored sperm, 1/3,9.5,0,37,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,"1.8C at time of capture; pooping, as are most bats",,,,
MYLU,,,,,,100913-15,,13-Sep-10,,,23:03,Parson's Road,,,,yes,M,YOY,nonreproductive,,7.7,0,39.01,,,,,large egap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-16,,13-Sep-10,,,not recorded,Parson's Road,,,,yes,M,ADULT,Stored sperm,not estimated,10.3,0,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-17,,13-Sep-10,,,0:39,Parson's Road,,,,yes,F,YOY,nonreproductive,,9.9,0,36.2,,,,,large egap,,,,,,,,,,,,,,,,,,,,,,,,1 of 2 bats captured together -17 and -18,,,,
MYLU,,,,,,100913-18,,13-Sep-10,,,0:39,Parson's Road,,,,yes,M,not recorded,not recorded,,8.3,0,36.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 of 2 bats captured together -17 and -18,,,,
MYLU,,,,,,100913-19,,13-Sep-10,,,0:39,Parson's Road,,,,yes,M,ADULT,Stored sperm,not estimated,9.6,0,38.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-20,,13-Sep-10,,,0:39,Parson's Road,,,,yes,F,YOY,nonreproductive,,8.2,0,38.66,,,,,visible egap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-21,,13-Sep-10,,,23:31,Parson's Road,,,,yes,F,YOY,nonreproductive,,9.4,0,38.88,,,,,medium egap,,,,,,,,,,,,,,,,,,,,,,,,1.5C at time of capture,,,,
MYLU,,,,,,100913-22,,13-Sep-10,,,0:39,Parson's Road,,,,yes,F,ADULT,Post-lactating,,11.1,0,39.17,,,,,,,,,,,,y,,,,,,,,,13,7,,7.5,,,,,,,,,
MYLU,,,,,,100913-23,,13-Sep-10,,,0:45,Parson's Road,,,,yes,M,ADULT,Stored sperm,not estimated,10.3*,0,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bat captured in net at same time as Boreal Owl,,,,
MYLU,,,,,,100913-24,,13-Sep-10,,,0:45,Parson's Road,,,,yes,M,ADULT,Stored sperm,not estimated,9.9,0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bat captured in net at same time as Boreal Owl; FA measurement may not be reliable as not sure it got zeroed, thus not entered",,,,
MYLU,,,,,,100913-25,,13-Sep-10,,,0:59,Parson's Road,,,,yes,M,ADULT,Stored sperm,not estimated,9.8,0,39.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-26,,13-Sep-10,,,0:00,Parson's Road,,,,yes,F,ADULT,Post-lactating,,10.3,0,38.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-27,,13-Sep-10,,,0:00,Parson's Road,,,,yes,F,ADULT,Post-lactating,,10.7,0,39.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100913-28,,13-Sep-10,,,1:45,Parson's Road,,,,yes,M,YOY,nonreproductive,,NA,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temp at capture -0.2C,,,,
MYLU,,,,,,100913-29,,13-Sep-10,,,2:02,Parson's Road,,,,yes,M,YOY,nonreproductive,,NA,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSE,,,,,,100914-01,,14-Sep-10,,,21:15,Lane Lake-Pine Lake,,,,yes,F,YOY,nonreproductive,,6,0,37.17,,,,,,,,,,,,,,,,,,,,,15,9,,6,,,,,,,,,
MYSE,,,,,,100914-02,,14-Sep-10,,,21:56,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm, 1/3,8.4,0,36.48,,,,,,,,,,,,y,,,,,,,,,16,8.5,,5.5,,,,,,,,,
MYLU/SE,,,,,,100914-03,,14-Sep-10,,,21:37,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm, 2/3,8.3,0,35.4,,,,,,,,,,,,y,,,,,,,,,14.5,9,,7,,,,,,,,,
EPFU,,,,,,100914-04,,14-Sep-10,,,22:04,Lane Lake-Pine Lake,,,,yes,M,YOY,nonreproductive,,24.4,0,47.27,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
EPFU,,,,,,100914-05,,14-Sep-10,,,21:28,Lane Lake-Pine Lake,,,,yes,M,YOY,nonreproductive,,18.7,0,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLU,,,,,,100914-06,,14-Sep-10,,,21:54,Lane Lake-Pine Lake,,,,yes,M,ADULT,no stored sperm,0    ,9.3,0,N/A,,,,,,,,,,,,,,,,,,,,,12.5,6.5,,,,,,,digital calipers malfunctioning; FA not reliable,,,,
MYLU,,,,,,100914-07,,14-Sep-10,,,23:11,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm, 2/3,9.7,0,39.05,,,,,,,,,,,,,,,,,,,,,12,6,,,,,,,,,,,
MYLU,,,,,,100914-08,,14-Sep-10,,,21:15,Lane Lake-Pine Lake,,,,yes,F,YOY,nonreproductive,,7.8,0,38.1,,,,,,,,,,,,,,,,,,,,,15,9,,,,,,,,,,,
MYSE?,,,,,,100914-09,,14-Sep-10,,,23:06,Lane Lake-Pine Lake,,,,yes,not recorded,not recorded,,,9.4,0,39.9,,,,,,,,,,,,y,,,,,,,,,14.5,7,,,n,,,967,,MYLU-shaped tragus,,,
MYSE,,,,,,100914-10,,14-Sep-10,,,21:45,Lane Lake-Pine Lake,,,,yes,F,ADULT,nonreproductive,,8.2,0,36.7,,,,,,,,,,,,y,,,,,,,,,12,7,,6,,,,,,,,,
MYLU,,,,,,100914-11,,14-Sep-10,,,22:15,Lane Lake-Pine Lake,,,,yes,M,YOY,nonreproductive,,9.5,0,38,,,,,,,,,,,,,,,,,,,,,15.5,9,,,,,,,,,,,
MYSE,,,,,,100914-12,,14-Sep-10,,,20:40,Lane Lake-Pine Lake,,,,yes,not recorded,not recorded,,,8.7,0,37,,,,,,,,,,,,y,,,,,,,,,15,9,,,,,,,,,,,
EPFU,,,,,,100914-13,,14-Sep-10,,,22:40,Lane Lake-Pine Lake,,,,yes,M,YOY,nonreproductive,,22.9,0,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSE,,,,,,100914-14,,14-Sep-10,,,21:14,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm, 1/2,7.4,0,37.95,,,,,,,,,,,,y,,,,,,,,,15,9,,8,,,,,,,,,
MYLU,,,,,,100914-15,,14-Sep-10,,,21:26,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm, 2/3,10.1,0,38.8,,,,,,,,,,,,,,,,,,,,,12,6,,6.5,,,,,,,,,
MYSE,,,,,,100914-16,,14-Sep-10,,,21:00,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm, 3/4,8.1,0,35.46,,,,,,,,,,,,y,,,,,,,,,16,9,,,,,,,,,,,
MYLU,,,,,,100914-17,,14-Sep-10,,,21:14,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm, 1/2,7.9,0,36.89,,,,,,,,,,,,,,,,,,,,,13,7,,7,,,,,,,,,
MYLU,,,,,,100914-18,,14-Sep-10,,,21:45,Lane Lake-Pine Lake,,,,yes,M,ADULT,Stored sperm,not estimated,9.3,0,37.87,,,,,,,,,,,,,,,,,,,,,,,,7c,,,,,,,,,
