"ID","lat","long","Start","End","winter.duration","cells","NA_dem","NA_northing","NA_nFrostyDays","NA_nonGrowingDays","NA_nDaysFreeze","NA_frostFreeze","NA_OG1k"
"ID_23",59.4332629391505,-126.104037704194,2015-09-17,2016-05-11,237,12247272,648.830383300781,59.4291648864746,231.845840454102,326.962615966797,76.4914855957031,154.168670654297,198.710922241211
"ID_26",51.5038805817945,-122.300036321496,2015-09-29,2016-04-19,203,25976364,382.789886474609,51.5041656494141,169.519195556641,294.222137451172,22.3456840515137,95.9324417114258,150.354507446289
"ID_28",59.5674182967362,-133.704238148247,2015-09-13,2016-05-15,245,12000948,696.714233398438,59.5708351135254,221.751419067383,333.725738525391,52.8489646911621,137.300186157227,192.629867553711
"ID_29",59.4061315133673,-133.581154404776,2015-08-26,2016-05-11,259,12289683,751.94677734375,59.404167175293,229.696792602539,336.694000244141,56.1312675476074,142.914031982422,187.695205688477
"ID_30",53.8794474448416,-124.591573306808,2015-09-09,2016-04-01,205,21861830,679.455993652344,53.8791656494141,214,322.343231201172,36.3712196350098,125.185607910156,160.68913269043
"ID_35",51.747104104179,-124.721361549739,2015-09-29,2016-04-25,209,25557430,936.260009765625,51.7458343505859,224.638565063477,324.118499755859,32.375,128.506774902344,117.849403381348
"ID_42",49.01159,-119.49267,2012-10-05,2013-03-31,177,30293065,520.220581054688,49.0125007629395,135.113372802734,282.952178955078,12.8462934494019,73.9798355102539,113.220199584961
"ID_52",49.9108028206618,-126.649205890586,2014-10-24,2015-03-07,134,28733119,13.7306699752808,49.9124984741211,61.2100601196289,293.701110839844,3.60103821754456,32.4055480957031,11.5277290344238
"ID_57",54.29618,-129.3941,2014-10-04,2015-04-20,198,21139453,74.2046203613281,54.2958335876465,125.086463928223,306.491516113281,11.4989862442017,68.292724609375,91.5321578979492
"ID_62",54.07445,-131.79941,2014-09-26,2015-03-07,162,21528937,28.5616416931152,54.0708351135254,73.9050445556641,315.186950683594,4.85103416442871,39.3780403137207,27.2722492218018
